Crystal 10, 10, 1.034
Crystal 20, 20, 1.034
Crystal 30, 30, 1.034
Crystal 40, 40, 1.034
Crystal 60, 60, 1.034
Crystal 80, 80, 1.034
Crystal 90, 90, 1.034
Crystal 120, 120, 1.034
Black Patent, 500, 1.026
Roasted Barley, 300, 1.025
Black Barley, 525, 1.024
Chocolate Malt, 350, 1.034
Dextrin Malt, 1.5, 1.033
2-row, 1.8, 1.037
Munich Malt, 10, 1.034
Special Roast, 50, 1.035
Vienna Malt, 3.5, 1.035
Victory Malt, 25, 1.034
Wheat Malt, 1.038
White Wheat Malt, 2, 1.037
Aromatic, 24, 1.036
Biscuit Malt, 24, 1.035
Carmel Pils, 7, 1.030
Caramunich, 56, 1.033
Caravienne, 22, 1.034
Chocolate Malt (Belgian), 350, 1.030
De-Bittered Black Malt, 550, 1.030
Belgian Pale, 3, 1.038
Belgian Pale Wheat, 1.5, 1.038
Belgian Pilsner Malt, 1.5, 1.037
Belgian Roasted Wheat, 12, 1.036
Special B, 170, 1.030
Amber 35, 35, 1.032
Amber 65, 65, 1.032
Brown Malt, 65, 1.032
Caramalt, 35, 1.035
Marris Otter, 3, 1.038
British Pale, 2.2, 1.038
Lager Malt, 1.6, 1.038
British Crystal, 55, 1.034
Dark Crystal, 165, 1.034
Mild Ale Malt, 2.3, 1.037
Oat Malt, 4, 1.034
Cara-Pils, 12, 1.033
Pale Chocolate, 220, 1.034
British Chocolate, 440, 1.034
Black Patent, 550, 1.026
British Roasted Barley, 500, 1.025
Toasted Pale, 25, 1.038
British Wheat Malt, 2, 1.038
Torrified Wheat, 1.5, 1.036
Aciduated Malt, 2, 1.033
CaraAmber, 26, 1.033
CaraAroma, 150, 1.034
Carafa I, 320, 1.038
Carafa II, 420, 1.038
Carafa III, 520, 1.038
CaraFoam, 1.8, 1.033
CaraHell, 10, 1.034
CaraMunich I, 34, 1.034
CaraMunich II, 46, 1.034
CaraMunich III, 56, 1.033
CaraRed, 17, 1.033
CaraWheat Malt,  45, 1.035
Chocolate Wheat Malt,  425, 1.038 
Chocolate Rye Malt,  250, 1.030 
Light Munich Malt, 5, 1.034 
Kolsch Malt, 5, 1.034 
Dark Munich Malt, 9, 1.034 
Melanoidin Malt, 27, 1.033 
Rauch Smoked Malt, 3, 1.037
Rye Malt,  3.5, 1.029 
Light Wheat Malt,  2, 1.039 
Dark Wheat Malt, 7, 1.039 
Vienna Malt, 3.5, 1.035 
Belgian Candi Sugar (clear), 0.5,  1.036
Candi Sugar (amber), 75, 1.036 
Candi Sugar (dark),  275,  1.036 
Brown Sugar, 40, 1.046 
Dark Brown Sugar,  60, 1.046 
Corn Sugar,  1,  1.037 
Demerara Sugar,  1,  1.0412 
Dextrose (glucose),  1,  1.037 
Dry Malt Extract,  Varies  1.044 
Honey, 3,  1.032 
Invert Sugar,  0,  1.046 
Lactose, 0,  1.043 
Lyle's Golden Syrup, 0,  1.036 
Maple Sap, 3,  1.009 
Maple Syrup, 35, 1.030 
Molasses,  80, 1.036 
Rice Solids, 0,  1.040 
Sucrose (White Table Sugar), 0,  1.046 
Syrup Malt Extract,  1,  1.035 
Treacle, 100,  1.036 
Flaked Barley, 1.5,  1.032 
Flaked Maize,  1,  1.037 
Flaked Oats, 1,  1.033 
Flaked Rye,  2,  1.036 
Flaked Wheat,  2,  1.036 
Franco-Belges Kiln Coffee Malt,  165, 1.032  
Gambrinus Honey Malt, 25, 1.034 
Grits, 1, 1.037 
Malto Dextrin, 0, 1.043
Scotmalt Golden Promise, 2.4, 1.038
